Nutrition,Foods
Vitamin_A,"Broccoli, Carrots, Sweet Potatoes"
Vitamin_B,"Broccoli, Eggs, Whole Grains"
Vitamin_C,"Broccoli, Citrus Fruits, Berries, Avocados"
Vitamin_D,"Yogurt, Milk, Hard Cheese"
Vitamin_K,"Spinach, Dairy"
Folic_acid,"Nuts, Seeds, Broccoli, Kale, Spinach, Pulses, Lentils, Citrus Fruits, Fortified Cereal, Avocados"
Iron,"Broccoli, Kale, Spinach, Beans, Lentils, Lean Red Meats, Fortified Cereals, Tofu"
Zinc,"Nuts, Seeds, Beans, Lentils, Lean Red Meats"
Calcium,"Dairy, Tofu"
Omega_3_Fatty_acids,"Oily fish, Omega_3_enriched_eggs, Nuts"
Protein,"Nuts, Eggs, Oily Fish, Dairy"
Potassium,"Banana, Avocados, Sweet Potatoes"
